Target,Port,Status,Time,Banner
172.20.0.21,7999,closed,0.001,null
172.20.0.21,8000,closed,0.001,null
172.20.0.21,8001,closed,0.001,null
172.20.0.21,8002,closed,0.001,null
172.20.0.21,8003,closed,0.001,null
172.20.0.21,8004,closed,0.001,null
172.20.0.21,8005,closed,0.001,null
172.20.0.21,8006,closed,0.001,null
172.20.0.21,8007,closed,0.001,null
172.20.0.21,8008,closed,0.001,null
172.20.0.21,8009,closed,0.001,null
172.20.0.21,8010,closed,0.001,null
172.20.0.21,8011,closed,0.001,null
172.20.0.21,8012,closed,0.001,null
172.20.0.21,8013,closed,0.001,null
172.20.0.21,8014,closed,0.001,null
172.20.0.21,8015,closed,0.001,null
172.20.0.21,8016,closed,0.001,null
172.20.0.21,8017,closed,0.001,null
172.20.0.21,8018,closed,0.001,null
172.20.0.21,8019,closed,0.001,null
172.20.0.21,8020,closed,0.001,null
172.20.0.21,8021,closed,0.001,null
172.20.0.21,8022,closed,0.001,null
172.20.0.21,8023,closed,0.001,null
172.20.0.21,8024,closed,0.001,null
172.20.0.21,8025,closed,0.001,null
172.20.0.21,8026,closed,0.001,null
172.20.0.21,8027,closed,0.001,null
172.20.0.21,8028,closed,0.001,null
172.20.0.21,8029,closed,0.001,null
172.20.0.21,8030,closed,0.001,null
172.20.0.21,8031,closed,0.001,null
172.20.0.21,8032,closed,0.001,null
172.20.0.21,8033,closed,0.001,null
172.20.0.21,8034,closed,0.001,null
172.20.0.21,8035,closed,0.001,null
172.20.0.21,8036,closed,0.001,null
172.20.0.21,8037,closed,0.001,null
172.20.0.21,8038,closed,0.001,null
172.20.0.21,8039,closed,0.001,null
172.20.0.21,8040,closed,0.001,null
172.20.0.21,8041,closed,0.001,null
172.20.0.21,8042,closed,0.001,null
172.20.0.21,8043,closed,0.001,null
172.20.0.21,8044,closed,0.001,null
172.20.0.21,8045,closed,0.001,null
172.20.0.21,8046,closed,0.001,null
172.20.0.21,8047,closed,0.001,null
172.20.0.21,8048,closed,0.001,null
172.20.0.21,8049,closed,0.001,null
172.20.0.21,8050,closed,0.001,null
172.20.0.21,8051,closed,0.001,null
172.20.0.21,8052,closed,0.001,null
172.20.0.21,8053,closed,0.001,null
172.20.0.21,8054,closed,0.001,null
172.20.0.21,8055,closed,0.001,null
172.20.0.21,8056,closed,0.001,null
172.20.0.21,8057,closed,0.001,null
172.20.0.21,8058,closed,0.001,null
172.20.0.21,8059,closed,0.001,null
172.20.0.21,8060,closed,0.001,null
172.20.0.21,8061,closed,0.001,null
172.20.0.21,8062,closed,0.001,null
172.20.0.21,8063,closed,0.001,null
172.20.0.21,8064,closed,0.001,null
172.20.0.21,8065,closed,0.001,null
172.20.0.21,8066,closed,0.001,null
172.20.0.21,8067,closed,0.001,null
172.20.0.21,8068,closed,0.001,null
172.20.0.21,8069,closed,0.001,null
172.20.0.21,8070,closed,0.001,null
172.20.0.21,8071,closed,0.001,null
172.20.0.21,8072,closed,0.001,null
172.20.0.21,8073,closed,0.001,null
172.20.0.21,8074,closed,0.001,null
172.20.0.21,8075,closed,0.001,null
172.20.0.21,8076,closed,0.001,null
172.20.0.21,8077,closed,0.001,null
172.20.0.21,8078,closed,0.001,null
172.20.0.21,8079,closed,0.001,null
172.20.0.21,8080,closed,0.001,null
172.20.0.21,8081,closed,0.001,null
172.20.0.21,8082,closed,0.001,null
172.20.0.21,8083,closed,0.001,null
172.20.0.21,8084,closed,0.001,null
172.20.0.21,8085,closed,0.001,null
172.20.0.21,8086,closed,0.001,null
172.20.0.21,8087,closed,0.001,null
172.20.0.21,8088,closed,0.001,null
172.20.0.21,8089,closed,0.001,null
172.20.0.21,8090,closed,0.001,null
172.20.0.21,8091,closed,0.001,null
172.20.0.21,8092,closed,0.001,null
172.20.0.21,8093,closed,0.001,null
172.20.0.21,8094,closed,0.001,null
172.20.0.21,8095,closed,0.001,null
172.20.0.21,8096,closed,0.001,null
172.20.0.21,8097,closed,0.001,null
172.20.0.21,8098,closed,0.001,null
172.20.0.21,8099,closed,0.001,null
172.20.0.21,8100,closed,0.001,null
172.20.0.21,8101,closed,0.001,null
172.20.0.21,8102,closed,0.001,null
172.20.0.21,8103,closed,0.001,null
172.20.0.21,8104,closed,0.001,null
172.20.0.21,8105,closed,0.001,null
172.20.0.21,8106,closed,0.001,null
172.20.0.21,8107,closed,0.001,null
172.20.0.21,8108,closed,0.001,null
172.20.0.21,8109,closed,0.001,null
172.20.0.21,8110,closed,0.001,null
172.20.0.21,8111,closed,0.001,null
172.20.0.21,8112,closed,0.001,null
172.20.0.21,8113,closed,0.001,null
172.20.0.21,8114,closed,0.001,null
172.20.0.21,8115,closed,0.001,null
172.20.0.21,8116,closed,0.001,null
172.20.0.21,8117,closed,0.001,null
172.20.0.21,8118,closed,0.001,null
172.20.0.21,8119,closed,0.001,null
172.20.0.21,8120,closed,0.001,null
172.20.0.21,8121,closed,0.001,null
172.20.0.21,8122,closed,0.001,null
172.20.0.21,8123,closed,0.001,null
172.20.0.21,8124,closed,0.001,null
172.20.0.21,8125,closed,0.001,null
172.20.0.21,8126,closed,0.001,null
172.20.0.21,8127,closed,0.001,null
172.20.0.21,8128,closed,0.001,null
172.20.0.21,8129,closed,0.001,null
172.20.0.21,8130,closed,0.001,null
172.20.0.21,8131,closed,0.001,null
172.20.0.21,8132,closed,0.001,null
172.20.0.21,8133,closed,0.001,null
172.20.0.21,8134,closed,0.001,null
172.20.0.21,8135,closed,0.001,null
172.20.0.21,8136,closed,0.001,null
172.20.0.21,8137,closed,0.001,null
172.20.0.21,8138,closed,0.001,null
172.20.0.21,8139,closed,0.001,null
172.20.0.21,8140,closed,0.001,null
172.20.0.21,8141,closed,0.001,null
172.20.0.21,8142,closed,0.001,null
172.20.0.21,8143,closed,0.001,null
172.20.0.21,8144,closed,0.001,null
172.20.0.21,8145,closed,0.001,null
172.20.0.21,8146,closed,0.001,null
172.20.0.21,8147,closed,0.001,null
172.20.0.21,8148,closed,0.001,null
172.20.0.21,8149,closed,0.001,null
172.20.0.21,8150,closed,0.001,null
172.20.0.21,8151,closed,0.001,null
172.20.0.21,8152,closed,0.001,null
172.20.0.21,8153,closed,0.001,null
172.20.0.21,8154,closed,0.001,null
172.20.0.21,8155,closed,0.001,null
172.20.0.21,8156,closed,0.001,null
172.20.0.21,8157,closed,0.001,null
172.20.0.21,8158,closed,0.001,null
172.20.0.21,8159,closed,0.001,null
172.20.0.21,8160,closed,0.001,null
172.20.0.21,8161,closed,0.001,null
172.20.0.21,8162,closed,0.001,null
172.20.0.21,8163,closed,0.001,null
172.20.0.21,8164,closed,0.001,null
172.20.0.21,8165,closed,0.001,null
172.20.0.21,8166,closed,0.001,null
172.20.0.21,8167,closed,0.001,null
172.20.0.21,8168,closed,0.001,null
172.20.0.21,8169,closed,0.001,null
172.20.0.21,8170,closed,0.001,null
172.20.0.21,8171,closed,0.001,null
172.20.0.21,8172,closed,0.001,null
172.20.0.21,8173,closed,0.001,null
172.20.0.21,8174,closed,0.001,null
172.20.0.21,8175,closed,0.001,null
172.20.0.21,8176,closed,0.001,null
172.20.0.21,8177,closed,0.001,null
172.20.0.21,8178,closed,0.001,null
172.20.0.21,8179,closed,0.001,null
172.20.0.21,8180,closed,0.001,null
172.20.0.21,8181,closed,0.001,null
172.20.0.21,8182,closed,0.001,null
172.20.0.21,8183,closed,0.001,null
172.20.0.21,8184,closed,0.001,null
172.20.0.21,8185,closed,0.001,null
172.20.0.21,8186,closed,0.001,null
172.20.0.21,8187,closed,0.001,null
172.20.0.21,8188,closed,0.001,null
172.20.0.21,8189,closed,0.001,null
172.20.0.21,8190,closed,0.001,null
172.20.0.21,8191,closed,0.001,null
172.20.0.21,8192,closed,0.001,null
172.20.0.21,8193,closed,0.001,null
172.20.0.21,8194,closed,0.001,null
172.20.0.21,8195,closed,0.001,null
172.20.0.21,8196,closed,0.001,null
172.20.0.21,8197,closed,0.001,null
172.20.0.21,8198,closed,0.001,null
172.20.0.21,8199,closed,0.001,null
172.20.0.21,8200,closed,0.001,null
172.20.0.21,8201,closed,0.001,null
172.20.0.21,8202,closed,0.001,null
172.20.0.21,8203,closed,0.001,null
172.20.0.21,8204,closed,0.001,null
172.20.0.21,8205,closed,0.001,null
172.20.0.21,8206,closed,0.001,null
172.20.0.21,8207,closed,0.001,null
172.20.0.21,8208,closed,0.001,null
172.20.0.21,8209,closed,0.001,null
172.20.0.21,8210,closed,0.001,null
172.20.0.21,8211,closed,0.001,null
172.20.0.21,8212,closed,0.001,null
172.20.0.21,8213,closed,0.001,null
172.20.0.21,8214,closed,0.001,null
172.20.0.21,8215,closed,0.001,null
172.20.0.21,8216,closed,0.001,null
172.20.0.21,8217,closed,0.001,null
172.20.0.21,8218,closed,0.001,null
172.20.0.21,8219,closed,0.001,null
172.20.0.21,8220,closed,0.001,null
172.20.0.21,8221,closed,0.001,null
172.20.0.21,8222,closed,0.001,null
172.20.0.21,8223,closed,0.001,null
172.20.0.21,8224,closed,0.001,null
172.20.0.21,8225,closed,0.001,null
172.20.0.21,8226,closed,0.001,null
172.20.0.21,8227,closed,0.001,null
172.20.0.21,8228,closed,0.001,null
172.20.0.21,8229,closed,0.001,null
172.20.0.21,8230,closed,0.001,null
172.20.0.21,8231,closed,0.001,null
172.20.0.21,8232,closed,0.001,null
172.20.0.21,8233,closed,0.001,null
172.20.0.21,8234,closed,0.001,null
172.20.0.21,8235,closed,0.001,null
172.20.0.21,8236,closed,0.001,null
172.20.0.21,8237,closed,0.001,null
172.20.0.21,8238,closed,0.001,null
172.20.0.21,8239,closed,0.001,null
172.20.0.21,8240,closed,0.001,null
172.20.0.21,8241,closed,0.001,null
172.20.0.21,8242,closed,0.001,null
172.20.0.21,8243,closed,0.001,null
172.20.0.21,8244,closed,0.001,null
172.20.0.21,8245,closed,0.001,null
